IdFecha,fecha,anio,mes,dia,trimestre,semana,dia_nombre,mes_nombre
20150101,2015-01-01,2015,1,1,1,1,Thursday,January
20150102,2015-01-02,2015,1,2,1,1,Friday,January
20150103,2015-01-03,2015,1,3,1,1,Saturday,January
20150104,2015-01-04,2015,1,4,1,1,Sunday,January
20150105,2015-01-05,2015,1,5,1,2,Monday,January
20150106,2015-01-06,2015,1,6,1,2,Tuesday,January
20150107,2015-01-07,2015,1,7,1,2,Wednesday,January
20150108,2015-01-08,2015,1,8,1,2,Thursday,January
20150109,2015-01-09,2015,1,9,1,2,Friday,January
20150110,2015-01-10,2015,1,10,1,2,Saturday,January
20150111,2015-01-11,2015,1,11,1,2,Sunday,January
20150112,2015-01-12,2015,1,12,1,3,Monday,January
20150113,2015-01-13,2015,1,13,1,3,Tuesday,January
20150114,2015-01-14,2015,1,14,1,3,Wednesday,January
20150115,2015-01-15,2015,1,15,1,3,Thursday,January
20150116,2015-01-16,2015,1,16,1,3,Friday,January
20150117,2015-01-17,2015,1,17,1,3,Saturday,January
20150118,2015-01-18,2015,1,18,1,3,Sunday,January
20150119,2015-01-19,2015,1,19,1,4,Monday,January
20150120,2015-01-20,2015,1,20,1,4,Tuesday,January
20150121,2015-01-21,2015,1,21,1,4,Wednesday,January
20150122,2015-01-22,2015,1,22,1,4,Thursday,January
20150123,2015-01-23,2015,1,23,1,4,Friday,January
20150124,2015-01-24,2015,1,24,1,4,Saturday,January
20150125,2015-01-25,2015,1,25,1,4,Sunday,January
20150126,2015-01-26,2015,1,26,1,5,Monday,January
20150127,2015-01-27,2015,1,27,1,5,Tuesday,January
20150128,2015-01-28,2015,1,28,1,5,Wednesday,January
20150129,2015-01-29,2015,1,29,1,5,Thursday,January
20150130,2015-01-30,2015,1,30,1,5,Friday,January
20150131,2015-01-31,2015,1,31,1,5,Saturday,January
20150201,2015-02-01,2015,2,1,1,5,Sunday,February
20150202,2015-02-02,2015,2,2,1,6,Monday,February
20150203,2015-02-03,2015,2,3,1,6,Tuesday,February
20150204,2015-02-04,2015,2,4,1,6,Wednesday,February
20150205,2015-02-05,2015,2,5,1,6,Thursday,February
20150206,2015-02-06,2015,2,6,1,6,Friday,February
20150207,2015-02-07,2015,2,7,1,6,Saturday,February
20150208,2015-02-08,2015,2,8,1,6,Sunday,February
20150209,2015-02-09,2015,2,9,1,7,Monday,February
20150210,2015-02-10,2015,2,10,1,7,Tuesday,February
20150211,2015-02-11,2015,2,11,1,7,Wednesday,February
20150212,2015-02-12,2015,2,12,1,7,Thursday,February
20150213,2015-02-13,2015,2,13,1,7,Friday,February
20150214,2015-02-14,2015,2,14,1,7,Saturday,February
20150215,2015-02-15,2015,2,15,1,7,Sunday,February
20150216,2015-02-16,2015,2,16,1,8,Monday,February
20150217,2015-02-17,2015,2,17,1,8,Tuesday,February
20150218,2015-02-18,2015,2,18,1,8,Wednesday,February
20150219,2015-02-19,2015,2,19,1,8,Thursday,February
20150220,2015-02-20,2015,2,20,1,8,Friday,February
20150221,2015-02-21,2015,2,21,1,8,Saturday,February
20150222,2015-02-22,2015,2,22,1,8,Sunday,February
20150223,2015-02-23,2015,2,23,1,9,Monday,February
20150224,2015-02-24,2015,2,24,1,9,Tuesday,February
20150225,2015-02-25,2015,2,25,1,9,Wednesday,February
20150226,2015-02-26,2015,2,26,1,9,Thursday,February
20150227,2015-02-27,2015,2,27,1,9,Friday,February
20150228,2015-02-28,2015,2,28,1,9,Saturday,February
20150301,2015-03-01,2015,3,1,1,9,Sunday,March
20150302,2015-03-02,2015,3,2,1,10,Monday,March
20150303,2015-03-03,2015,3,3,1,10,Tuesday,March
20150304,2015-03-04,2015,3,4,1,10,Wednesday,March
20150305,2015-03-05,2015,3,5,1,10,Thursday,March
20150306,2015-03-06,2015,3,6,1,10,Friday,March
20150307,2015-03-07,2015,3,7,1,10,Saturday,March
20150308,2015-03-08,2015,3,8,1,10,Sunday,March
20150309,2015-03-09,2015,3,9,1,11,Monday,March
20150310,2015-03-10,2015,3,10,1,11,Tuesday,March
20150311,2015-03-11,2015,3,11,1,11,Wednesday,March
20150312,2015-03-12,2015,3,12,1,11,Thursday,March
20150313,2015-03-13,2015,3,13,1,11,Friday,March
20150314,2015-03-14,2015,3,14,1,11,Saturday,March
20150315,2015-03-15,2015,3,15,1,11,Sunday,March
20150316,2015-03-16,2015,3,16,1,12,Monday,March
20150317,2015-03-17,2015,3,17,1,12,Tuesday,March
20150318,2015-03-18,2015,3,18,1,12,Wednesday,March
20150319,2015-03-19,2015,3,19,1,12,Thursday,March
20150320,2015-03-20,2015,3,20,1,12,Friday,March
20150321,2015-03-21,2015,3,21,1,12,Saturday,March
20150322,2015-03-22,2015,3,22,1,12,Sunday,March
20150323,2015-03-23,2015,3,23,1,13,Monday,March
20150324,2015-03-24,2015,3,24,1,13,Tuesday,March
20150325,2015-03-25,2015,3,25,1,13,Wednesday,March
20150326,2015-03-26,2015,3,26,1,13,Thursday,March
20150327,2015-03-27,2015,3,27,1,13,Friday,March
20150328,2015-03-28,2015,3,28,1,13,Saturday,March
20150329,2015-03-29,2015,3,29,1,13,Sunday,March
20150330,2015-03-30,2015,3,30,1,14,Monday,March
20150331,2015-03-31,2015,3,31,1,14,Tuesday,March
20150401,2015-04-01,2015,4,1,2,14,Wednesday,April
20150402,2015-04-02,2015,4,2,2,14,Thursday,April
20150403,2015-04-03,2015,4,3,2,14,Friday,April
20150404,2015-04-04,2015,4,4,2,14,Saturday,April
20150405,2015-04-05,2015,4,5,2,14,Sunday,April
20150406,2015-04-06,2015,4,6,2,15,Monday,April
20150407,2015-04-07,2015,4,7,2,15,Tuesday,April
20150408,2015-04-08,2015,4,8,2,15,Wednesday,April
20150409,2015-04-09,2015,4,9,2,15,Thursday,April
20150410,2015-04-10,2015,4,10,2,15,Friday,April
20150411,2015-04-11,2015,4,11,2,15,Saturday,April
20150412,2015-04-12,2015,4,12,2,15,Sunday,April
20150413,2015-04-13,2015,4,13,2,16,Monday,April
20150414,2015-04-14,2015,4,14,2,16,Tuesday,April
20150415,2015-04-15,2015,4,15,2,16,Wednesday,April
20150416,2015-04-16,2015,4,16,2,16,Thursday,April
20150417,2015-04-17,2015,4,17,2,16,Friday,April
20150418,2015-04-18,2015,4,18,2,16,Saturday,April
20150419,2015-04-19,2015,4,19,2,16,Sunday,April
20150420,2015-04-20,2015,4,20,2,17,Monday,April
20150421,2015-04-21,2015,4,21,2,17,Tuesday,April
20150422,2015-04-22,2015,4,22,2,17,Wednesday,April
20150423,2015-04-23,2015,4,23,2,17,Thursday,April
20150424,2015-04-24,2015,4,24,2,17,Friday,April
20150425,2015-04-25,2015,4,25,2,17,Saturday,April
20150426,2015-04-26,2015,4,26,2,17,Sunday,April
20150427,2015-04-27,2015,4,27,2,18,Monday,April
20150428,2015-04-28,2015,4,28,2,18,Tuesday,April
20150429,2015-04-29,2015,4,29,2,18,Wednesday,April
20150430,2015-04-30,2015,4,30,2,18,Thursday,April
20150501,2015-05-01,2015,5,1,2,18,Friday,May
20150502,2015-05-02,2015,5,2,2,18,Saturday,May
20150503,2015-05-03,2015,5,3,2,18,Sunday,May
20150504,2015-05-04,2015,5,4,2,19,Monday,May
20150505,2015-05-05,2015,5,5,2,19,Tuesday,May
20150506,2015-05-06,2015,5,6,2,19,Wednesday,May
20150507,2015-05-07,2015,5,7,2,19,Thursday,May
20150508,2015-05-08,2015,5,8,2,19,Friday,May
20150509,2015-05-09,2015,5,9,2,19,Saturday,May
20150510,2015-05-10,2015,5,10,2,19,Sunday,May
20150511,2015-05-11,2015,5,11,2,20,Monday,May
20150512,2015-05-12,2015,5,12,2,20,Tuesday,May
20150513,2015-05-13,2015,5,13,2,20,Wednesday,May
20150514,2015-05-14,2015,5,14,2,20,Thursday,May
20150515,2015-05-15,2015,5,15,2,20,Friday,May
20150516,2015-05-16,2015,5,16,2,20,Saturday,May
20150517,2015-05-17,2015,5,17,2,20,Sunday,May
20150518,2015-05-18,2015,5,18,2,21,Monday,May
20150519,2015-05-19,2015,5,19,2,21,Tuesday,May
20150520,2015-05-20,2015,5,20,2,21,Wednesday,May
20150521,2015-05-21,2015,5,21,2,21,Thursday,May
20150522,2015-05-22,2015,5,22,2,21,Friday,May
20150523,2015-05-23,2015,5,23,2,21,Saturday,May
20150524,2015-05-24,2015,5,24,2,21,Sunday,May
20150525,2015-05-25,2015,5,25,2,22,Monday,May
20150526,2015-05-26,2015,5,26,2,22,Tuesday,May
20150527,2015-05-27,2015,5,27,2,22,Wednesday,May
20150528,2015-05-28,2015,5,28,2,22,Thursday,May
20150529,2015-05-29,2015,5,29,2,22,Friday,May
20150530,2015-05-30,2015,5,30,2,22,Saturday,May
20150531,2015-05-31,2015,5,31,2,22,Sunday,May
20150601,2015-06-01,2015,6,1,2,23,Monday,June
20150602,2015-06-02,2015,6,2,2,23,Tuesday,June
20150603,2015-06-03,2015,6,3,2,23,Wednesday,June
20150604,2015-06-04,2015,6,4,2,23,Thursday,June
20150605,2015-06-05,2015,6,5,2,23,Friday,June
20150606,2015-06-06,2015,6,6,2,23,Saturday,June
20150607,2015-06-07,2015,6,7,2,23,Sunday,June
20150608,2015-06-08,2015,6,8,2,24,Monday,June
20150609,2015-06-09,2015,6,9,2,24,Tuesday,June
20150610,2015-06-10,2015,6,10,2,24,Wednesday,June
20150611,2015-06-11,2015,6,11,2,24,Thursday,June
20150612,2015-06-12,2015,6,12,2,24,Friday,June
20150613,2015-06-13,2015,6,13,2,24,Saturday,June
20150614,2015-06-14,2015,6,14,2,24,Sunday,June
20150615,2015-06-15,2015,6,15,2,25,Monday,June
20150616,2015-06-16,2015,6,16,2,25,Tuesday,June
20150617,2015-06-17,2015,6,17,2,25,Wednesday,June
20150618,2015-06-18,2015,6,18,2,25,Thursday,June
20150619,2015-06-19,2015,6,19,2,25,Friday,June
20150620,2015-06-20,2015,6,20,2,25,Saturday,June
20150621,2015-06-21,2015,6,21,2,25,Sunday,June
20150622,2015-06-22,2015,6,22,2,26,Monday,June
20150623,2015-06-23,2015,6,23,2,26,Tuesday,June
20150624,2015-06-24,2015,6,24,2,26,Wednesday,June
20150625,2015-06-25,2015,6,25,2,26,Thursday,June
20150626,2015-06-26,2015,6,26,2,26,Friday,June
20150627,2015-06-27,2015,6,27,2,26,Saturday,June
20150628,2015-06-28,2015,6,28,2,26,Sunday,June
20150629,2015-06-29,2015,6,29,2,27,Monday,June
20150630,2015-06-30,2015,6,30,2,27,Tuesday,June
20150701,2015-07-01,2015,7,1,3,27,Wednesday,July
20150702,2015-07-02,2015,7,2,3,27,Thursday,July
20150703,2015-07-03,2015,7,3,3,27,Friday,July
20150704,2015-07-04,2015,7,4,3,27,Saturday,July
20150705,2015-07-05,2015,7,5,3,27,Sunday,July
20150706,2015-07-06,2015,7,6,3,28,Monday,July
20150707,2015-07-07,2015,7,7,3,28,Tuesday,July
20150708,2015-07-08,2015,7,8,3,28,Wednesday,July
20150709,2015-07-09,2015,7,9,3,28,Thursday,July
20150710,2015-07-10,2015,7,10,3,28,Friday,July
20150711,2015-07-11,2015,7,11,3,28,Saturday,July
20150712,2015-07-12,2015,7,12,3,28,Sunday,July
20150713,2015-07-13,2015,7,13,3,29,Monday,July
20150714,2015-07-14,2015,7,14,3,29,Tuesday,July
20150715,2015-07-15,2015,7,15,3,29,Wednesday,July
20150716,2015-07-16,2015,7,16,3,29,Thursday,July
20150717,2015-07-17,2015,7,17,3,29,Friday,July
20150718,2015-07-18,2015,7,18,3,29,Saturday,July
20150719,2015-07-19,2015,7,19,3,29,Sunday,July
20150720,2015-07-20,2015,7,20,3,30,Monday,July
20150721,2015-07-21,2015,7,21,3,30,Tuesday,July
20150722,2015-07-22,2015,7,22,3,30,Wednesday,July
20150723,2015-07-23,2015,7,23,3,30,Thursday,July
20150724,2015-07-24,2015,7,24,3,30,Friday,July
20150725,2015-07-25,2015,7,25,3,30,Saturday,July
20150726,2015-07-26,2015,7,26,3,30,Sunday,July
20150727,2015-07-27,2015,7,27,3,31,Monday,July
20150728,2015-07-28,2015,7,28,3,31,Tuesday,July
20150729,2015-07-29,2015,7,29,3,31,Wednesday,July
20150730,2015-07-30,2015,7,30,3,31,Thursday,July
20150731,2015-07-31,2015,7,31,3,31,Friday,July
20150801,2015-08-01,2015,8,1,3,31,Saturday,August
20150802,2015-08-02,2015,8,2,3,31,Sunday,August
20150803,2015-08-03,2015,8,3,3,32,Monday,August
20150804,2015-08-04,2015,8,4,3,32,Tuesday,August
20150805,2015-08-05,2015,8,5,3,32,Wednesday,August
20150806,2015-08-06,2015,8,6,3,32,Thursday,August
20150807,2015-08-07,2015,8,7,3,32,Friday,August
20150808,2015-08-08,2015,8,8,3,32,Saturday,August
20150809,2015-08-09,2015,8,9,3,32,Sunday,August
