IdGasto,IdSucursal,IdTipoGasto,Fecha,Monto
1,18,1,2015-01-01,1164.9
2,18,2,2015-01-01,317.02
3,18,3,2015-01-01,118.89
4,18,4,2015-01-01,1174.23
5,1,1,2015-01-01,1104.51
6,1,2,2015-01-01,359.96
7,1,3,2015-01-01,108.59
8,1,4,2015-01-01,1029.69
9,2,1,2015-01-01,1090.87
10,2,2,2015-01-01,349.58
11,2,3,2015-01-01,115.37
12,2,4,2015-01-01,1072.56
13,3,1,2015-01-01,1101.79
14,3,2,2015-01-01,327.39
15,3,3,2015-01-01,115.11
16,3,4,2015-01-01,1081.61
17,4,1,2015-01-01,1154.77
18,4,2,2015-01-01,338.7
19,4,3,2015-01-01,118.06
20,4,4,2015-01-01,1116.24
21,5,1,2015-01-01,1039.26
22,5,2,2015-01-01,314.28
23,5,3,2015-01-01,112.02
24,5,4,2015-01-01,1058.34
25,6,1,2015-01-01,1130.99
26,6,2,2015-01-01,323.98
27,6,3,2015-01-01,100.68
28,6,4,2015-01-01,1194
29,7,1,2015-01-01,1149.71
30,7,2,2015-01-01,349.96
31,7,3,2015-01-01,118.35
32,7,4,2015-01-01,1017.8
33,8,1,2015-01-01,1138.61
34,8,2,2015-01-01,311.89
35,8,3,2015-01-01,118.23
36,8,4,2015-01-01,1192.59
37,9,1,2015-01-01,1016.09
38,9,2,2015-01-01,330.8
39,9,3,2015-01-01,106.5
40,9,4,2015-01-01,1017.2
41,10,1,2015-01-01,1090.89
42,10,2,2015-01-01,300.85
43,10,3,2015-01-01,114.15
44,10,4,2015-01-01,1099.19
45,13,1,2015-01-01,1071.34
46,13,2,2015-01-01,317.74
47,13,3,2015-01-01,108.16
48,13,4,2015-01-01,1030.56
49,15,1,2015-01-01,1108.04
50,15,2,2015-01-01,314.56
51,15,3,2015-01-01,111.85
52,15,4,2015-01-01,1046.93
53,20,1,2015-01-01,1079.13
54,20,2,2015-01-01,316.47
55,20,3,2015-01-01,103.71
56,20,4,2015-01-01,1020.62
57,17,1,2015-01-01,1191.94
58,17,2,2015-01-01,329.35
