fila,sepal_length,sepal_width,petal_length,petal_width,species
fila1,5.1,3.5,1.4,0.2,setosa
fila2,4.9,3,1.4,0.2,setosa
fila3,4.7,3.2,1.3,0.2,setosa
fila4,4.6,3.1,1.5,0.2,setosa
fila5,5,3.6,1.4,0.2,setosa
fila6,5.4,3.9,1.7,0.4,setosa
fila7,4.6,3.4,1.4,0.3,setosa
fila8,5,3.4,1.5,0.2,setosa
fila9,4.4,2.9,1.4,0.2,setosa
fila10,4.9,3.1,1.5,0.1,setosa
fila11,5.4,3.7,1.5,0.2,setosa
fila12,4.8,3.4,1.6,0.2,setosa
fila13,4.8,3,1.4,0.1,setosa
fila14,4.3,3,1.1,0.1,setosa
fila15,5.8,4,1.2,0.2,setosa
fila16,5.7,4.4,1.5,0.4,setosa
fila17,5.4,3.9,1.3,0.4,setosa
fila18,5.1,3.5,1.4,0.3,setosa
fila19,5.7,3.8,1.7,0.3,setosa
fila20,5.1,3.8,1.5,0.3,setosa
fila21,5.4,3.4,1.7,0.2,setosa
fila22,5.1,3.7,1.5,0.4,setosa
fila23,4.6,3.6,1,0.2,setosa
fila24,5.1,3.3,1.7,0.5,setosa
fila25,4.8,3.4,1.9,0.2,setosa
fila26,5,3,1.6,0.2,setosa
fila27,5,3.4,1.6,0.4,setosa
fila28,5.2,3.5,1.5,0.2,setosa
fila29,5.2,3.4,1.4,0.2,setosa
fila30,4.7,3.2,1.6,0.2,setosa
fila31,4.8,3.1,1.6,0.2,setosa
fila32,5.4,3.4,1.5,0.4,setosa
fila33,5.2,4.1,1.5,0.1,setosa
fila34,5.5,4.2,1.4,0.2,setosa
fila35,4.9,3.1,1.5,0.1,setosa
fila36,5,3.2,1.2,0.2,setosa
fila37,5.5,3.5,1.3,0.2,setosa
fila38,4.9,3.1,1.5,0.1,setosa
fila39,4.4,3,1.3,0.2,setosa
fila40,5.1,3.4,1.5,0.2,setosa
fila41,5,3.5,1.3,0.3,setosa
fila42,4.5,2.3,1.3,0.3,setosa
fila43,4.4,3.2,1.3,0.2,setosa
fila44,5,3.5,1.6,0.6,setosa
fila45,5.1,3.8,1.9,0.4,setosa
fila46,4.8,3,1.4,0.3,setosa
fila47,5.1,3.8,1.6,0.2,setosa
fila48,4.6,3.2,1.4,0.2,setosa
fila49,5.3,3.7,1.5,0.2,setosa
fila50,5,3.3,1.4,0.2,setosa
fila51,7,3.2,4.7,1.4,versicolor
fila52,6.4,3.2,4.5,1.5,versicolor
fila53,6.9,3.1,4.9,1.5,versicolor
fila54,5.5,2.3,4,1.3,versicolor
fila55,6.5,2.8,4.6,1.5,versicolor
fila56,5.7,2.8,4.5,1.3,versicolor
fila57,6.3,3.3,4.7,1.6,versicolor
fila58,4.9,2.4,3.3,1,versicolor
fila59,6.6,2.9,4.6,1.3,versicolor
fila60,5.2,2.7,3.9,1.4,versicolor
fila61,5,2,3.5,1,versicolor
fila62,5.9,3,4.2,1.5,versicolor
fila63,6,2.2,4,1,versicolor
fila64,6.1,2.9,4.7,1.4,versicolor
fila65,5.6,2.9,3.6,1.3,versicolor
fila66,6.7,3.1,4.4,1.4,versicolor
fila67,5.6,3,4.5,1.5,versicolor
fila68,5.8,2.7,4.1,1,versicolor
fila69,6.2,2.2,4.5,1.5,versicolor
fila70,5.6,2.5,3.9,1.1,versicolor
fila71,5.9,3.2,4.8,1.8,versicolor
fila72,6.1,2.8,4,1.3,versicolor
fila73,6.3,2.5,4.9,1.5,versicolor
fila74,6.1,2.8,4.7,1.2,versicolor
fila75,6.4,2.9,4.3,1.3,versicolor
fila76,6.6,3,4.4,1.4,versicolor
fila77,6.8,2.8,4.8,1.4,versicolor
fila78,6.7,3,5,1.7,versicolor
fila79,6,2.9,4.5,1.5,versicolor
fila80,5.7,2.6,3.5,1,versicolor
fila81,5.5,2.4,3.8,1.1,versicolor
fila82,5.5,2.4,3.7,1,versicolor
fila83,5.8,2.7,3.9,1.2,versicolor
fila84,6,2.7,5.1,1.6,versicolor
fila85,5.4,3,4.5,1.5,versicolor
fila86,6,3.4,4.5,1.6,versicolor
fila87,6.7,3.1,4.7,1.5,versicolor
fila88,6.3,2.3,4.4,1.3,versicolor
fila89,5.6,3,4.1,1.3,versicolor
fila90,5.5,2.5,4,1.3,versicolor
fila91,5.5,2.6,4.4,1.2,versicolor
fila92,6.1,3,4.6,1.4,versicolor
fila93,5.8,2.6,4,1.2,versicolor
fila94,5,2.3,3.3,1,versicolor
fila95,5.6,2.7,4.2,1.3,versicolor
fila96,5.7,3,4.2,1.2,versicolor
fila97,5.7,2.9,4.2,1.3,versicolor
fila98,6.2,2.9,4.3,1.3,versicolor
fila99,5.1,2.5,3,1.1,versicolor
fila100,5.7,2.8,4.1,1.3,versicolor
fila101,6.3,3.3,6,2.5,virginica
fila102,5.8,2.7,5.1,1.9,virginica
fila103,7.1,3,5.9,2.1,virginica
fila104,6.3,2.9,5.6,1.8,virginica
fila105,6.5,3,5.8,2.2,virginica
fila106,7.6,3,6.6,2.1,virginica
fila107,4.9,2.5,4.5,1.7,virginica
fila108,7.3,2.9,6.3,1.8,virginica
fila109,6.7,2.5,5.8,1.8,virginica
fila110,7.2,3.6,6.1,2.5,virginica
fila111,6.5,3.2,5.1,2,virginica
fila112,6.4,2.7,5.3,1.9,virginica
fila113,6.8,3,5.5,2.1,virginica
fila114,5.7,2.5,5,2,virginica
fila115,5.8,2.8,5.1,2.4,virginica
fila116,6.4,3.2,5.3,2.3,virginica
fila117,6.5,3,5.5,1.8,virginica
fila118,7.7,3.8,6.7,2.2,virginica
fila119,7.7,2.6,6.9,2.3,virginica
fila120,6,2.2,5,1.5,virginica
fila121,6.9,3.2,5.7,2.3,virginica
fila122,5.6,2.8,4.9,2,virginica
fila123,7.7,2.8,6.7,2,virginica
fila124,6.3,2.7,4.9,1.8,virginica
fila125,6.7,3.3,5.7,2.1,virginica
fila126,7.2,3.2,6,1.8,virginica
fila127,6.2,2.8,4.8,1.8,virginica
fila128,6.1,3,4.9,1.8,virginica
fila129,6.4,2.8,5.6,2.1,virginica
fila130,7.2,3,5.8,1.6,virginica
