IdVenta,Fecha,Fecha_Entrega,IdCanal,IdCliente,IdSucursal,IdEmpleado,IdProducto,Precio,Cantidad
1,2018-03-09,2018-03-17,3,969,13,1674,42817,813.12,2
2,2018-12-28,2018-12-29,2,884,13,1674,42795,543.18,3
3,2016-03-28,2016-03-31,2,1722,13,1674,42837,430.32,1
4,2017-10-23,2017-10-24,3,2876,13,1674,42834,818.84,2
5,2017-11-22,2017-11-25,2,678,13,1674,42825,554.18,3
6,2018-01-24,2018-01-25,2,3263,13,1674,42852,152,1
7,2015-03-25,2015-03-26,3,2983,13,1674,42939,2915,1
8,2017-07-10,2017-07-18,2,201,13,1674,42940,2162,2
9,2018-04-03,2018-04-06,2,1006,13,1674,42905,456,3
10,2019-03-16,2019-03-17,1,1003,13,1674,42894,515,2
11,2015-01-19,2015-01-27,3,430,13,1674,42998,529,3
12,2015-02-17,2015-02-18,1,2866,13,1674,42969,3839,2
13,2016-03-30,2016-04-02,3,1856,13,1674,42960,4125,1
14,2017-05-16,2017-05-24,2,460,13,1674,42987,456,2
15,2017-06-03,2017-06-11,2,519,13,1674,43010,387,2
16,2017-06-06,2017-06-09,2,587,13,1674,43015,483,2
17,2019-02-07,2019-02-08,2,1590,13,1674,42976,216,1
18,2019-02-14,2019-02-22,2,3029,13,1674,43010,387,3
19,2019-09-21,2019-09-22,3,2854,13,1674,42958,3763,2
20,2019-10-21,2019-10-24,2,667,13,1674,42992,570,30
21,2015-11-30,2015-12-03,3,353,13,1674,42797,4845.5,2
22,2017-06-21,2017-06-27,3,385,13,1674,42789,218.02,1
23,2018-04-04,2018-04-12,2,381,13,1674,42766,7011.62,2
24,2019-03-08,2019-03-16,2,1286,13,1674,42787,1366.42,2
25,2019-06-04,2019-06-07,2,1117,13,1674,42763,2118.38,1
26,2019-11-12,2019-11-21,2,273,13,1674,42754,1237.5,3
27,2016-05-27,2016-06-05,3,2716,13,1674,42876,560,1
28,2016-07-14,2016-07-17,3,926,13,1674,42830,486.42,2
29,2017-05-02,2017-05-11,2,430,13,1674,42879,560,1
30,2019-05-07,2019-05-16,1,2939,13,1674,42861,542,1
31,2019-08-19,2019-08-22,3,1270,13,1674,42859,610,1
32,2015-07-07,2015-07-13,3,1064,13,1674,42945,3210,2
33,2016-08-05,2016-08-11,3,2630,13,1674,42906,321,2
34,2018-08-16,2018-08-24,2,645,13,1674,42893,515,3
35,2015-12-29,2016-01-06,1,895,13,1674,43016,454,3
36,2016-01-28,2016-01-31,1,572,13,1674,42970,3001,2
37,2017-06-05,2017-06-11,3,649,13,1674,42975,215,2
38,2016-09-03,2016-09-09,1,364,13,1674,43033,1182,2
39,2016-12-24,2017-01-02,3,879,13,1674,43022,422,2
40,2017-03-28,2017-04-06,3,1117,13,1674,43026,530,2
41,2018-12-25,2018-12-31,1,3156,13,1674,43017,358,1
42,2015-01-08,2015-01-16,1,3013,13,1674,42758,1819.18,3
43,2015-03-16,2015-03-18,3,1388,13,1674,42785,1597.42,2
44,2015-06-09,2015-06-14,1,1088,13,1674,42800,1642.74,2
45,2015-10-05,2015-10-10,1,1654,13,1674,42796,457.82,3
46,2015-10-16,2015-10-23,2,393,13,1674,42764,1385.78,1
47,2015-10-15,2015-10-22,3,3360,13,1674,42814,369.82,2
48,2015-12-18,2015-12-21,1,1746,13,1674,42765,1938.42,1
49,2015-12-31,2016-01-04,2,1133,13,1674,42737,1658,2
50,2016-01-11,2016-01-14,1,2896,13,1674,42776,1423.4,1
51,2016-07-18,2016-07-21,1,1230,13,1674,42788,42196,2
52,2016-07-27,2016-08-01,3,2711,13,1674,42799,1536.04,2
53,2016-08-12,2016-08-16,1,1719,13,1674,42774,6048.9,2
54,2016-08-13,2016-08-20,3,782,13,1674,42760,1637.24,2
55,2016-09-13,2016-09-18,1,3250,13,1674,42763,2118.38,2
56,2016-10-11,2016-10-16,1,2932,13,1674,42764,1385.78,2
57,2016-11-08,2016-11-13,2,46,13,1674,42816,1254.88,3
58,2016-12-29,2017-01-01,1,78,13,1674,42815,599.5,2
59,2017-02-17,2017-02-21,1,2858,13,1674,42793,871.86,2
60,2017-04-18,2017-04-28,1,3156,13,1674,42810,1282.82,1
61,2017-05-26,2017-05-31,2,480,13,1674,42795,543.18,2
62,2017-09-12,2017-09-13,1,484,13,1674,42795,543.18,2
63,2017-09-20,2017-09-28,2,776,13,1674,42787,1366.42,3
64,2017-10-07,2017-10-12,1,1103,13,1674,42782,3373.92,1
65,2017-11-13,2017-11-14,1,639,13,1674,42737,1658,2
66,2017-12-22,2017-12-27,2,1293,13,1674,42783,2452.34,2
67,2018-02-09,2018-02-10,1,893,13,1674,42772,6569.86,2
68,2018-03-27,2018-03-31,3,1814,13,1674,42762,2106.06,2
69,2018-05-19,2018-05-29,2,944,13,1674,42789,218.02,1
70,2018-05-23,2018-05-28,2,1559,13,1674,42787,1366.42,3
71,2018-08-04,2018-08-08,2,771,13,1674,42800,1642.74,3
72,2018-08-22,2018-09-01,1,1185,13,1674,42779,9555.04,
73,2018-10-01,2018-10-05,3,932,13,1674,42796,457.82,1
74,2018-11-02,2018-11-10,1,879,13,1674,42790,762.96,1
75,2019-01-22,2019-01-26,2,3357,13,1674,42789,218.02,1
76,2019-07-15,2019-07-17,3,292,13,1674,42818,1907.62,2
77,2019-09-10,2019-09-13,1,596,13,1674,42777,2557.5,3
78,2019-11-14,2019-11-22,2,1854,13,1674,42788,421.96,2
79,2019-12-13,2019-12-16,1,1865,13,1674,42777,2557.5,3
80,2019-12-19,2019-12-26,2,1788,13,1674,42799,1536.04,2
81,2020-01-27,2020-01-28,2,109,13,1674,42760,1637.24,3
82,2020-04-10,2020-04-11,3,333,13,1674,42791,258.28,2
83,2020-05-27,2020-06-04,2,721,13,1674,42764,1385.78,1
84,2015-02-07,2015-02-12,3,993,13,1674,42884,498,20
85,2015-02-13,2015-02-14,3,582,13,1674,42846,2846.58,2
86,2015-03-17,2015-03-20,3,3159,13,1674,42839,,2
87,2015-09-10,2015-09-17,3,237,13,1674,42825,554.18,3
88,2015-09-16,2015-09-21,3,1691,13,1674,42831,369.6,1
89,2015-10-22,2015-10-27,1,135,13,1674,42840,353.32,2
90,2015-11-06,2015-11-14,3,568,13,1674,42848,1588,2
91,2016-01-20,2016-01-27,1,160,13,1674,42849,1542,3
92,2016-02-11,2016-02-16,2,1818,13,1674,42833,819.06,2
93,2016-09-26,2016-10-03,3,484,13,1674,42845,823.24,2
94,2016-12-09,2016-12-19,3,2664,13,1674,42841,353.32,3
95,2016-12-12,2016-12-16,3,530,13,1674,42865,199,1
